graph,order,freq,score,input_time,task_time,total_time,input_power,task_power,input_e,task_e,total_e
google,GBBBBBBBGGB,"((4, 6), (5,), (5,), (5,), (6,), (6,), (5,), (6,), (4, 0), (3, 6), (6,))",987.386575260335,139.858,504.7658,644.6238,3272.60830112365,3684.94850374281,457.700451778551,1860.03597945054,2317.73643122909
google,GBBBBBBBGGB,"((4, 6), (5,), (5,), (5,), (6,), (6,), (5,), (6,), (4, 0), (3, 6), (6,))",987.386575260335,,,,,,,,
google,GBBBBBBBGGB,"((4, 6), (5,), (5,), (5,), (6,), (6,), (5,), (6,), (4, 0), (3, 6), (6,))",987.386575260335,,,,,,,,
mobile,GGGGGBBBBBBBBB,"((4, 3), (4, 2), (4, 4), (4, 4), (2, 6), (7,), (5,), (6,), (6,), (6,), (6,), (6,), (6,), (6,))",541.301354796614,149.469,275.759,425.228,3223.79836674056,4017.29392256512,481.857918078345,1107.80495479263,1589.66287287098
mobile,GGGGGBBBBBBBBB,"((4, 3), (4, 2), (4, 4), (4, 4), (2, 6), (7,), (5,), (6,), (6,), (6,), (6,), (6,), (6,), (6,))",541.301354796614,,,,,,,,
mobile,GGGGGBBBBBBBGB,"((4, 3), (4, 2), (4, 4), (4, 4), (2, 6), (7,), (5,), (6,), (6,), (6,), (6,), (6,), (0, 5), (6,))",593.490081475159,147.533,277.93425,425.46725,3259.64925349745,4062.6034298347,480.905833316239,1129.13663731854,1610.04247063477
mobile,GBGGGBBBBBBBBB,"((4, 3), (7,), (4, 4), (4, 4), (2, 6), (7,), (5,), (6,), (6,), (6,), (6,), (6,), (6,), (6,))",603.707796939264,147.95,302.5203,450.4703,3233.16373802713,3963.44238538208,478.346575041114,1199.0217794585,1677.36835449962
mobile,GGGGGBBGBBBBBB,"((4, 3), (4, 2), (4, 2), (4, 3), (2, 6), (7,), (5,), (1, 6), (6,), (6,), (6,), (6,), (6,), (6,))",634.3862779006,148.673,281.0272,429.7002,3246.33744988582,4072.14969465509,482.642727686875,1144.38482666978,1627.02755435665
mobile,GGGGGBBBBBBGGB,"((4, 3), (4, 2), (4, 4), (2, 3), (2, 6), (7,), (5,), (6,), (6,), (6,), (6,), (4, 0), (1, 6), (6,))",660.094563514662,148.02,259.5694,407.5894,3270.74659286479,4158.69843692042,484.135910675846,1079.47085805237,1563.60676872822
mobile,GGGGGBGGBBBBBB,"((4, 3), (2, 7), (1, 4), (4, 3), (2, 4), (7,), (3, 1), (0, 7), (6,), (6,), (6,), (6,), (6,), (6,))",660.702592824196,147.504,263.9593,411.4633,3260.68379019407,4154.89475205673,480.963901788785,1096.72311032657,1577.68701211535
mobile,GGGGBBGGBBBBBB,"((3, 1), (4, 0), (2, 3), (4, 4), (2,), (7,), (3, 1), (4, 2), (6,), (6,), (6,), (6,), (6,), (6,))",660.793758354514,147.616,282.8858,430.5018,3252.47511642646,4086.14821579448,480.117366786409,1155.91330694359,1636.03067373
mobile,GGGGGBBGBBBBBB,"((3, 7), (3, 3), (2, 5), (4, 3), (2, 6), (7,), (5,), (1, 6), (6,), (6,), (6,), (6,), (6,), (6,))",665.040578851388,150.728,282.9713,433.6993,3254.36168654594,4068.21784150616,490.523428289697,1151.18889129419,1641.71231958389
mobile,GGGGGBBGBBBBBB,"((3, 7), (3, 3), (2, 5), (4, 3), (2, 6), (7,), (5,), (1, 6), (6,), (6,), (5,), (6,), (6,), (6,))",665.583939929833,150.161,281.0456,431.2066,3246.21183847889,4072.81546566028,487.454415877829,1144.64686623577,1632.1012821136
squeeze,GGGGGGGGBB,"((3, 3), (4, 4), (4, 2), (4, 4), (4, 4), (4, 4), (4, 4), (2, 5), (5,), (7,))",585.120378276148,149.676,221.3599,371.0359,3258.45525063248,4176.38820436455,487.712548093667,924.484875279317,1412.19742337298
squeeze,GGGGGGGGBB,"((3, 3), (4, 4), (4, 2), (4, 4), (4, 4), (4, 4), (4, 4), (2, 5), (5,), (7,))",585.120378276148,,,,,,,,
squeeze,GGGGGGGGBB,"((3, 3), (4, 4), (4, 2), (4, 4), (4, 4), (4, 4), (4, 4), (2, 5), (5,), (7,))",585.120378276148,,,,,,,,
squeeze,GGGGGGGGBB,"((3, 3), (4, 4), (4, 2), (4, 4), (4, 4), (4, 4), (4, 4), (2, 5), (5,), (7,))",585.120378276148,,,,,,,,
squeeze,GGGGGGGGBB,"((3, 3), (4, 4), (4, 2), (4, 4), (4, 4), (4, 4), (4, 4), (2, 5), (5,), (7,))",585.120378276148,,,,,,,,
squeeze,GGGGGGGGBB,"((3, 3), (4, 4), (4, 2), (4, 4), (4, 4), (4, 4), (4, 4), (2, 5), (5,), (7,))",585.120378276148,,,,,,,,
squeeze,GGGGGGGGBB,"((4, 2), (4, 0), (4, 2), (4, 4), (4, 4), (4, 4), (4, 4), (2, 5), (5,), (7,))",591.359084149574,149.531,219.0978,368.6288,3267.71854273183,4183.61758318729,488.625221413234,916.621408517652,1405.24662993089
squeeze,GGGGGGGGBB,"((3, 3), (4, 4), (4, 2), (3, 6), (4, 2), (3, 1), (4, 4), (1, 7), (5,), (7,))",591.901432618552,154.721,220.5917,375.3127,3252.02975742591,4171.41573209453,503.157296098695,920.179687749478,1423.33698384817
squeeze,GGGGGGGGBB,"((3, 3), (4, 4), (4, 2), (3, 6), (4, 4), (3, 1), (3, 7), (2, 5), (5,), (7,))",594.637681825448,149.409,213.6359,363.0449,3264.22797511514,4201.73498209214,487.705037533979,897.641434460737,1385.34647199472
squeeze,GGGGGGGGBB,"((3, 3), (4, 4), (3, 6), (4, 4), (4, 3), (4, 0), (3, 7), (2, 5), (5,), (7,))",599.143976341694,149.274,217.5106,366.7846,3263.50098652076,4189.95275599661,487.1558462619,911.359137928475,1398.51498419038
res50,GGGGGGGGBBBBBBBBBB,"((4, 1), (4, 2), (4, 1), (4, 2), (4, 2), (4, 1), (4, 3), (4, 5), (5,), (4,), (4,), (5,), (5,), (5,), (5,), (5,), (4,), (7,))",2745.00691924956,116.691,759.298,875.989,3609.50978401572,4638.27993921687,421.197306206578,3521.83668128749,3943.03398749407
res50,GGGGGGGGBBBBBBBBBB,"((4, 1), (4, 2), (4, 1), (4, 2), (4, 2), (4, 1), (4, 3), (4, 5), (5,), (4,), (4,), (5,), (5,), (5,), (5,), (5,), (4,), (7,))",2745.00691924956,,,,,,,,
res50,GGGGGGGGBBGBBBBBBB,"((4, 1), (4, 2), (1, 4), (3, 6), (4, 2), (4, 1), (4, 3), (1, 5), (5,), (4,), (2, 5), (5,), (5,), (5,), (5,), (5,), (4,), (7,))",3026.37429173837,69.7652,948.6576,1018.4228,3373.14947086455,4333.04600848324,235.328447464759,4110.57702709729,4345.90547456205
res50,GGGGGGGGGGGBBBBBBB,"((3, 6), (4, 2), (4, 1), (3, 6), (4, 2), (4, 1), (4, 3), (1, 3), (4, 1), (2, 4), (1, 1), (5,), (5,), (5,), (5,), (5,), (4,), (7,))",3062.96887937598,71.3913,817.9747,889.366,3425.10110350107,4657.72380692711,244.522420410376,3809.90023365406,4054.42265406444
res50,GGGGGGGGBGBBBBBBBB,"((2, 2), (4, 2), (3, 2), (4, 0), (4, 2), (4, 1), (4, 3), (4, 5), (5,), (3, 7), (4,), (5,), (5,), (5,), (5,), (5,), (0,), (7,))",3067.45985186126,69.7583,890.6524,960.4107,3413.19407496178,4440.54955552614,238.098616239406,3954.98611894829,4193.0847351877
res50,GGGGGGGGGGGBBBBBBG,"((3, 5), (3, 0), (4, 6), (3, 0), (4, 2), (4, 7), (3, 4), (3, 6), (3, 1), (0, 4), (2, 3), (5,), (5,), (5,), (5,), (5,), (5,), (0, 5))",3117.42102134866,83.028,805.44043,888.46843,3450.97223024592,4686.75902716255,286.527322332858,3774.90520614419,4061.43252847705
res50,GGGGGGGGBBBBBBBGBB,"((4, 1), (4, 2), (4, 1), (4, 2), (4, 2), (4, 1), (4, 3), (4, 5), (5,), (4,), (4,), (5,), (5,), (5,), (5,), (1, 0), (4,), (7,))",3143.50834245794,72.0683,789.1028,861.1711,3502.96398135155,4626.92670064744,252.452659097238,3651.12081487566,3903.5734739729
res50,GGGGGGGBBBGBBBBBBB,"((4, 1), (4, 2), (1, 1), (3, 6), (4, 4), (4, 2), (0, 5), (0,), (5,), (4,), (2, 5), (5,), (5,), (5,), (5,), (5,), (4,), (7,))",3188.40353414839,68.2344,1012.3711,1080.6055,3397.28550911737,4224.71936036547,231.811738343318,4276.98378604448,4508.7955243878
res50,GGGGGGGGBBBBBBLBBB,"((3, 6), (4, 2), (4, 1), (3, 6), (4, 2), (4, 1), (4, 3), (1, 3), (5,), (4,), (4,), (5,), (5,), (5,), (2,), (5,), (4,), (7,))",3203.68945024289,58.1495,840.0791,898.2286,3595.40975446839,4482.19874547119,209.07127951746,3765.40148811656,3974.47276763402
res50,GGGGGGGBGGGBBBBBBG,"((3, 5), (3, 0), (4, 6), (3, 0), (4, 2), (4, 7), (3, 4), (1,), (3, 1), (1, 2), (2, 3), (5,), (5,), (5,), (5,), (5,), (5,), (0, 5))",3214.25228924132,84.7238,907.13734,991.86114,3428.94177728982,4546.63947131339,290.512977350748,4124.42643594623,4414.93941329698
alex,GGGGGGGB,"((3, 6), (4, 4), (4, 1), (4, 4), (4, 3), (3, 3), (3, 3), (7,))",698.657386783466,51.5403,170.6992,222.2395,3337.77431296339,5118.14113148788,172.029889422427,873.662596632076,1045.6924860545
alex,GGGGGGGB,"((4, 7), (4, 7), (4, 7), (4, 7), (4, 7), (4, 7), (4, 7), (7,))",748.6,51.7682,171.9245,223.6927,3342.93041752705,5119.32232094917,173.057490440624,880.136930368025,1053.19442080865
