graph,order,freq,score,input_time,task_time,total_time,input_power,task_power,input_e,task_e,total_e
google,GBBBBBBBBGG,"((4, 6), (5,), (5,), (5,), (6,), (6,), (4,), (5,), (5,), (3, 6), (2, 2))",985.370904647192,114.264,186.7494,301.0134,4585.05199050949,5443.90057474884,523.906380643577,1016.645165994,1540.55154663758
google,GBBBBBBGBBB,"((4, 6), (5,), (5,), (5,), (6,), (6,), (5,), (4, 6), (5,), (6,), (6,))",985.948205753333,109.363,177.6873,287.0503,5059.92843434344,5706.54364925943,553.368953365101,1013.98033336906,1567.34928673416
google,GBBBBBBBGGB,"((4, 6), (5,), (5,), (5,), (6,), (6,), (5,), (6,), (4, 0), (3, 6), (6,))",987.386575260335,107.716,186.4161,294.1321,5031.40793650794,5647.89246136991,541.963137288889,1052.85808586798,1594.82122315687
mobile,GGGGGBBBBBBBBB,"((4, 3), (4, 2), (4, 4), (4, 4), (2, 6), (7,), (5,), (6,), (6,), (6,), (6,), (6,), (6,), (6,))",541.301354796614,116.747,97.05,213.797,4442.06354395604,6375.89947158725,518.597592566236,618.781043717542,1137.37863628378
mobile,GGGGGBBBBBBBGB,"((4, 3), (4, 2), (4, 4), (4, 4), (2, 6), (7,), (5,), (6,), (6,), (6,), (6,), (6,), (0, 5), (6,))",593.490081475159,117.1,113.2115,230.3115,4445.11385170385,5961.00873586924,520.522832034521,674.85474050086,1195.37757253538
mobile,GBGGGBBBBBBBBB,"((4, 3), (7,), (4, 4), (4, 4), (2, 6), (7,), (5,), (6,), (6,), (6,), (6,), (6,), (6,), (6,))",603.707796939264,112.751,106.12107,218.87207,4475.32804029304,6256.15073151075,504.597711871081,663.909409709203,1168.50712158028
mobile,GGGGGBBGBBBBBB,"((4, 3), (4, 2), (4, 2), (4, 3), (2, 6), (7,), (5,), (1, 6), (6,), (6,), (6,), (6,), (6,), (6,))",634.3862779006,112.516,121.4717,233.9877,4517.07736041736,5764.46668277417,508.24347628472,700.219567549939,1208.46304383466
mobile,GGGGGBBBBBBGGB,"((4, 3), (4, 2), (4, 4), (2, 3), (2, 6), (7,), (5,), (6,), (6,), (6,), (6,), (4, 0), (1, 6), (6,))",660.094563514662,116.276,119.1901,235.4661,4431.04143814519,5765.94363394687,515.22377426177,687.243398324491,1202.46717258626
mobile,GGGGGBGGBBBBBB,"((4, 3), (2, 7), (1, 4), (4, 3), (2, 4), (7,), (3, 1), (0, 7), (6,), (6,), (6,), (6,), (6,), (6,))",660.702592824196,113.046,152.76731,265.81331,4496.06866244866,5223.56800619751,508.262578015172,797.990432908857,1306.25301092403
mobile,GGGGBBGGBBBBBB,"((3, 1), (4, 0), (2, 3), (4, 4), (2,), (7,), (3, 1), (4, 2), (6,), (6,), (6,), (6,), (6,), (6,))",660.793758354514,116.352,125.2469,241.5989,4014.57695770696,5651.70627269765,467.10405818312,707.858690365935,1174.96274854905
mobile,GGGGGBBGBBBBBB,"((3, 7), (3, 3), (2, 5), (4, 3), (2, 6), (7,), (5,), (1, 6), (6,), (6,), (6,), (6,), (6,), (6,))",665.040578851388,107.666,132.747,240.413,5175.78583333333,5473.13662418688,557.256157531667,726.542467450935,1283.7986249826
mobile,GGGGGBBGBBBBBB,"((3, 7), (3, 3), (2, 5), (4, 3), (2, 6), (7,), (5,), (1, 6), (6,), (6,), (5,), (6,), (6,), (6,))",665.583939929833,108.548,130.3636,238.9116,5243.24043650794,5478.00405451323,569.143262902064,714.132329360941,1283.275592263
squeeze,GGGGGGGGBB,"((3, 3), (4, 4), (4, 2), (4, 4), (4, 4), (4, 4), (4, 4), (2, 5), (5,), (7,))",585.120378276148,116.612,109.6816,226.2936,4321.52802947053,5490.22973660056,503.942026572617,602.177181877928,1106.11920845055
squeeze,GGGGGGGGBB,"((4, 2), (4, 0), (4, 2), (4, 4), (4, 4), (4, 4), (4, 4), (2, 5), (5,), (7,))",591.359084149574,118.128,106.3514,224.4794,4319.24164026333,5794.67090876276,510.223376481027,616.271363686192,1126.49474016722
squeeze,GGGGGGGGBB,"((3, 3), (4, 4), (4, 2), (3, 6), (4, 2), (3, 1), (4, 4), (1, 7), (5,), (7,))",591.901432618552,117.117,120.1071,237.2241,4296.72486374736,5212.86197998273,503.2195258675,626.101735115984,1129.32126098348
squeeze,GGGGGGGGBB,"((3, 3), (4, 4), (4, 2), (3, 6), (4, 4), (3, 1), (3, 7), (2, 5), (5,), (7,))",594.637681825448,116.492,116.4365,232.9285,4331.63945387946,5261.12307818407,504.601343261325,612.586757292979,1117.1881005543
squeeze,GGGGGGGGBB,"((3, 3), (4, 4), (3, 6), (4, 4), (4, 3), (4, 0), (3, 7), (2, 5), (5,), (7,))",599.143976341694,117.231,115.0542,232.2852,4319.37379811365,5379.07414285256,506.364509726662,618.885072246587,1125.24958197325
res50,GGGGGGGGBBBBBBBBBB,"((4, 1), (4, 2), (4, 1), (4, 2), (4, 2), (4, 1), (4, 3), (4, 5), (5,), (4,), (4,), (5,), (5,), (5,), (5,), (5,), (4,), (7,))",2745.00691924956,110.332,517.167,627.499,4257.83643692196,5511.14253105532,469.775609758474,2850.18104935828,3319.95665911676
res50,GGGGGGGGBBGBBBBBBB,"((4, 1), (4, 2), (1, 4), (3, 6), (4, 2), (4, 1), (4, 3), (1, 5), (5,), (4,), (2, 5), (5,), (5,), (5,), (5,), (5,), (4,), (7,))",3026.37429173837,80.5988,590.3139,670.9127,3791.34683755306,5026.14943951944,305.578005490572,2967.00587762554,3272.58388311611
res50,GGGGGGGGGGGBBBBBBB,"((3, 6), (4, 2), (4, 1), (3, 6), (4, 2), (4, 1), (4, 3), (1, 3), (4, 1), (2, 4), (1, 1), (5,), (5,), (5,), (5,), (5,), (4,), (7,))",3062.96887937598,63.8687,573.6513,637.52,5096.79047619048,5224.69843380746,325.525381886667,2997.15504866161,3322.68043054828
res50,GGGGGGGGBGBBBBBBBB,"((2, 2), (4, 2), (3, 2), (4, 0), (4, 2), (4, 1), (4, 3), (4, 5), (5,), (3, 7), (4,), (5,), (5,), (5,), (5,), (5,), (0,), (7,))",3067.45985186126,79.9632,599.9925,679.9557,4217.91939871188,5095.87361112353,337.278332463078,3057.48594762203,3394.76428008511
res50,GGGGGGGGGGGBBBBBBG,"((3, 5), (3, 0), (4, 6), (3, 0), (4, 2), (4, 7), (3, 4), (3, 6), (3, 1), (0, 4), (2, 3), (5,), (5,), (5,), (5,), (5,), (5,), (0, 5))",3117.42102134866,72.4189,604.5754,676.9943,4383.32080808081,5061.45412515216,317.435271268323,3060.03065229551,3377.46592356384
res50,GGGGGGGGBBBBBBBGBB,"((4, 1), (4, 2), (4, 1), (4, 2), (4, 2), (4, 1), (4, 3), (4, 5), (5,), (4,), (4,), (5,), (5,), (5,), (5,), (1, 0), (4,), (7,))",3143.50834245794,85.5413,566.0082,651.5495,4262.58956832681,5287.80304010687,364.627453041114,2992.93988068542,3357.56733372653
res50,GGGGGGGBBBGBBBBBBB,"((4, 1), (4, 2), (1, 1), (3, 6), (4, 4), (4, 2), (0, 5), (0,), (5,), (4,), (2, 5), (5,), (5,), (5,), (5,), (5,), (4,), (7,))",3188.40353414839,71.4727,652.6538,724.1265,4081.04523009599,4873.00453442404,291.683321417082,3180.38492680908,3472.06824822616
res50,GGGGGGGGBBBBBBLBBB,"((3, 6), (4, 2), (4, 1), (3, 6), (4, 2), (4, 1), (4, 3), (1, 3), (5,), (4,), (4,), (5,), (5,), (5,), (2,), (5,), (4,), (7,))",3203.68945024289,55.0702,561.3364,616.4066,5005.52168109668,5124.35247438107,275.65508008233,2876.48557030016,3152.14065038249
res50,GGGGGGGBGGGBBBBBBG,"((3, 5), (3, 0), (4, 6), (3, 0), (4, 2), (4, 7), (3, 4), (1,), (3, 1), (1, 2), (2, 3), (5,), (5,), (5,), (5,), (5,), (5,), (0, 5))",3214.25228924132,82.2448,639.444,721.6888,4432.90909090909,5028.45589628822,364.5837216,3215.41595214613,3579.99967374613
